t_ms,qdot_cmd,qdot_simu
1,0,-0.000119184
2,0,5.96772e-05
3,0,8.94431e-05
4,0,5.95844e-05
5,0,-0.000149023
6,0.1,-5.96278e-05
7,0.1,2.97905e-05
8,0.1,0.0499536
9,0.1,0.0751402
10,0.1,0.0873615
11,0.1,0.0938252
12,0.1,0.0968367
13,0.1,0.098328
14,0.1,0.0993429
15,0.1,0.0995467
16,0.1,0.0997867
17,0.1,0.100026
18,0.1,0.099729
19,0.1,0.100029
20,0.1,0.0999349
21,0.1,0.0999064
22,0.1,0.100056
23,0.1,0.100148
24,0.1,0.0998805
25,0.1,0.100114
26,0.1,0.100026
27,0.1,0.0998781
28,0.1,0.100089
29,0.1,0.100173
30,0.1,0.0999958
31,0.1,0.0999661
32,0.1,0.0999986
33,0.1,0.0999997
34,0.1,0.100144
35,0.1,0.100145
36,0.1,0.0999077
37,0.1,0.0999991
38,0.1,0.099933
39,0.1,0.0999662
40,0.1,0.0999968
41,0.1,0.0999985
42,0.1,0.0999397
43,0.1,0.100174
44,0.1,0.0999059
45,0.1,0.0999684
