t_ms,qdot_cmd,qdot_simu
1,0,3.75169e-09
2,0,0.000178899
3,0,6.08226e-09
4,0,-4.27469e-08
5,0,-0.000297995
6,0.1,-2.98488e-05
7,0.1,0.000208649
8,0.1,0.0198187
9,0.1,0.0398465
10,0.1,0.0598135
11,0.1,0.0801099
12,0.1,0.0898837
13,0.1,0.0949512
14,0.1,0.097486
15,0.1,0.0987658
16,0.1,0.0994228
17,0.1,0.0997191
18,0.1,0.0997795
19,0.1,0.0998677
20,0.1,0.100108
21,0.1,0.100019
22,0.1,0.0999875
23,0.1,0.100078
24,0.1,0.100107
25,0.1,0.0999592
26,0.1,0.100076
27,0.1,0.100078
28,0.1,0.100019
29,0.1,0.100018
30,0.1,0.100109
31,0.1,0.0999577
32,0.1,0.100078
33,0.1,0.100017
34,0.1,0.0999884
35,0.1,0.100019
36,0.1,0.100018
37,0.1,0.100019
38,0.1,0.100077
39,0.1,0.100018
40,0.1,0.0998982
41,0.1,0.100288
42,0.1,0.0999602
43,0.1,0.100108
44,0.1,0.100019
45,0.1,0.100137
